Symbol,Name,Closed Date,Quantity,Proceeds,CostBasis,Total Gain/Loss ($),Total Gain/Loss (%),Long Term Gain/Loss ($),Long Term Gain/Loss (%),Short Term Gain/Loss ($),Short Term Gain/Loss (%),Wash Sale?,Disallowed Loss,Transaction Closed Date,Transaction Cost Basis,Total Transaction Gain/Loss ($),Total Transaction Gain/Loss (%),LT Transaction Gain/Loss ($),LT Transaction Gain/Loss (%),ST Transaction Gain/Loss ($),ST Transaction Gain/Loss (%)
WKHS 01/15/2021 20.00 C,CALL WORKHORSE GROUP INC $20 EXP 01/15/21,11/19/2020,1,$599.34,$610.65,-$11.31,-1.85%,--,--,-$11.31,-1.85%,No,,,,,,,,,
Z 09/04/2020 85.00 C,CALL ZILLOW GROUP INC $85 EXP 09/04/20,08/17/2020,1,$129.35,$550.65,-$421.30,-76.51%,--,--,-$421.30,-76.51%,No,,,,,,,,,
ZM 10/23/2020 570.00 C,CALL ZOOM VIDEO COMMUNIC $570 EXP 10/23/20,10/23/2020,1,$0.00,$2900.65,-$2900.65,-100.00%,--,--,-$2900.65,-100.00%,No,,,,,,,,,
CLLS,CELLECTIS S A F SPONSORED ADR 1 ADR REPS 1 ORD SHS,07/22/2020,60,$1026.58,$1127.89,-$101.31,-8.98%,--,--,-$101.31,-8.98%,No,,,,,,,,,
CRNT,CERAGON NETWORKS LTD F,08/17/2020,525,$1312.52,$1175.18,$137.34,11.69%,--,--,$137.34,11.69%,No,,,,,,,,,
CRNT,CERAGON NETWORKS LTD F,12/17/2020,300,$782.98,$808.50,-$25.52,-3.16%,--,--,-$25.52,-3.16%,No,,,,,,,,,
CRNT,CERAGON NETWORKS LTD F,12/17/2020,100,$261.32,$269.50,-$8.18,-3.04%,--,--,-$8.18,-3.04%,No,,,,,,,,,
CRNT,CERAGON NETWORKS LTD F,12/17/2020,100,$260.99,$269.50,-$8.51,-3.16%,--,--,-$8.51,-3.16%,No,,,,,,,,,
CWBHF,CHARLOTTES WEB HLDGS I F,12/22/2020,375,$1486.88,$1041.38,$445.50,42.78%,--,--,$445.50,42.78%,No,,,,,,,,,
CWBHF,CHARLOTTES WEB HOLDING F,08/07/2020,300,$990.90,$1140.00,-$149.10,-13.08%,--,--,-$149.10,-13.08%,No,,,,,,,,,
CHGG,CHEGG INC,07/24/2020,10,$734.58,$707.49,$27.09,3.83%,--,--,$27.09,3.83%,No,,,,,,,,,
CHGG,CHEGG INC,07/24/2020,5,$367.29,$353.74,$13.55,3.83%,--,--,$13.55,3.83%,No,,,,,,,,,
NET,CLOUDFLARE INC CLASS A,08/17/2020,34,$1321.89,$1404.80,-$82.91,-5.90%,--,--,-$82.91,-5.90%,No,,,,,,,,,
NET,CLOUDFLARE INC CLASS A,12/23/2020,20,$1644.24,$1471.70,$172.54,11.72%,--,--,$172.54,11.72%,No,,,,,,,,,
CCHWF,COLUMBIA CARE INC F,08/17/2020,300,$1117.48,$968.70,$148.78,15.36%,--,--,$148.78,15.36%,No,,,,,,,,,
CCHWF,COLUMBIA CARE INC F,08/17/2020,50,$183.00,$161.45,$21.55,13.35%,--,--,$21.55,13.35%,No,,,,,,,,,
CCHWF,COLUMBIA CARE INC F,12/22/2020,250,$1159.22,$1039.76,$119.46,11.49%,--,--,$119.46,11.49%,No,,,,,,,,,
CRSP,CRISPR THERAPEUTICS F,07/09/2020,5,$475.64,$422.18,$53.46,12.66%,--,--,$53.46,12.66%,No,,,,,,,,,
CRSP,CRISPR THERAPEUTICS F,08/17/2020,14,$1281.81,$1228.32,$53.49,4.35%,--,--,$53.49,4.35%,No,,,,,,,,,
CRWD,CROWDSTRIKE HLDGS INC,07/09/2020,1,$116.99,$107.50,$9.49,8.83%,--,--,$9.49,8.83%,No,,,,,,,,,
CRWD,CROWDSTRIKE HLDGS INC,07/22/2020,9,$931.03,$967.50,-$36.47,-3.77%,--,--,-$36.47,-3.77%,No,,,,,,,,,
CUE,CUE BIOPHARMA INC,08/17/2020,65,$1357.83,$1336.40,$21.43,1.60%,--,--,$21.43,1.60%,No,,,,,,,,,
CURLF,CURALEAF HOLDINGS INC F,11/24/2020,50,$515.99,$395.00,$120.99,30.63%,--,--,$120.99,30.63%,No,,,,,,,,,
APPS,DIGITAL TURBINE INC,07/30/2020,68,$842.50,$672.28,$170.22,25.32%,--,--,$170.22,25.32%,No,,,,,,,,,
DOCU,DOCUSIGN INC,07/09/2020,1,$211.86,$197.74,$14.12,7.14%,--,--,$14.12,7.14%,No,,,,,,,,,
DOCU,DOCUSIGN INC,07/24/2020,5,$964.98,$988.67,-$23.69,-2.40%,--,--,-$23.69,-2.40%,No,,,,,,,,,
KODK,EASTMAN KODAK CO,07/29/2020,7,$200.97,$196.00,$4.97,2.54%,--,--,$4.97,2.54%,No,,,,,,,,,
KODK,EASTMAN KODAK CO,07/31/2020,43,$1015.21,$1204.00,-$188.79,-15.68%,--,--,-$188.79,-15.68%,No,,,,,,,,,
EBAY,EBAY INC,07/22/2020,17,$966.97,$1003.99,-$37.02,-3.69%,--,--,-$37.02,-3.69%,No,,,,,,,,,
EA,ELECTRONIC ARTS INC,07/22/2020,8,$1111.58,$1096.13,$15.45,1.41%,--,--,$15.45,1.41%,No,,,,,,,,,
ENPH,ENPHASE ENERGY INC,10/21/2020,8,$852.70,$882.68,-$29.98,-3.40%,--,--,-$29.98,-3.40%,No,,,,,,,,,
ENPH,ENPHASE ENERGY INC,10/21/2020,2,$213.13,$220.67,-$7.54,-3.42%,--,--,-$7.54,-3.42%,No,,,,,,,,,
ETHOF,ETHOS GOLD CORP F,08/13/2020,6900,$1383.42,$1449.00,-$65.58,-4.53%,--,--,-$65.58,-4.53%,No,,,,,,,,,
FSLY,FASTLY INC,07/09/2020,4,$378.39,$333.00,$45.39,13.63%,--,--,$45.39,13.63%,No,,,,,,,,,
FSLY,FASTLY INC,07/24/2020,11,$843.24,$915.75,$0.00,0.00%,--,--,$0.00,0.00%,Yes,$72.51,,,,,,,,
FSLY,FASTLY INC,08/06/2020,15,$1349.97,$1453.71,-$103.74,-7.14%,--,--,-$103.74,-7.14%,No,,,$1381.20,-$31.23,-2.26%,,,-$31.23,-2.26%
FVRR,FIVERR INTERNTNL LTD F,07/01/2020,45,$3257.93,$3192.75,$65.18,2.04%,--,--,$65.18,2.04%,No,,,,,,,,,
GD,GENERAL DYNAMICS CO,06/25/2020,15,$2180.50,$2089.50,$91.00,4.36%,--,--,$91.00,4.36%,No,,,,,,,,,
GRAF,GRAF INDUSTRIAL CORP,07/08/2020,45,$749.46,$983.48,-$234.02,-23.80%,--,--,-$234.02,-23.80%,No,,,,,,,,,
GBTC,GRAYSCALE BITCOIN TR BTC,10/22/2020,100,$1465.97,$1445.00,$20.97,1.45%,--,--,$20.97,1.45%,No,,,,,,,,,
GTBIF,GREEN THUMB INDS INC F,08/06/2020,18,$251.53,$244.15,$7.38,3.02%,--,--,$7.38,3.02%,No,,,,,,,,,
GTBIF,GREEN THUMB INDS INC F,08/06/2020,2,$27.95,$27.13,$0.82,3.02%,--,--,$0.82,3.02%,No,,,,,,,,,
GTBIF,GREEN THUMB INDS INC F,08/17/2020,80,$1276.37,$1085.12,$191.25,17.62%,--,--,$191.25,17.62%,No,,,,,,,,,
GTBIF,GREEN THUMB INDS INC F,11/24/2020,45,$872.98,$670.18,$202.80,30.26%,--,--,$202.80,30.26%,No,,,,,,,,,
GRWG,GROWGENERATION CORP,12/14/2020,30,$992.98,$1085.50,$0.00,0.00%,--,--,$0.00,0.00%,Yes,$92.52,,,,,,,,
GRWG,GROWGENERATION CORP,12/17/2020,50,$1867.96,$1902.77,-$34.81,-1.83%,--,--,-$34.81,-1.83%,No,,,$1810.25,$57.71,3.19%,,,$57.71,3.19%
GGAL,GRUPO FINANCIERO GALIC F SPONSORED ADR 1 ADR REPS 10 ORD SHS,07/09/2020,100,$1090.44,$1121.70,-$31.26,-2.79%,--,--,-$31.26,-2.79%,No,,,,,,,,,
GWPH,GW PHARMACEUTIC PLC F SPONSORED ADR 1 ADR REPS 12 ORD SHS,12/14/2020,10,$1203.52,$1301.00,-$97.48,-7.49%,--,--,-$97.48,-7.49%,No,,,,,,,,,
IMMU,IMMUNOMEDICS INC,08/17/2020,27,$1125.75,$1148.90,-$23.15,-2.01%,--,--,-$23.15,-2.01%,No,,,,,,,,,
IIPR,INNOVATIVE INDUSTRIAL PR REIT,08/17/2020,14,$1677.97,$1346.38,$331.59,24.63%,--,--,$331.59,24.63%,No,,,,,,,,,
INVA,INNOVIVA INC,08/17/2020,100,$1385.47,$1329.00,$56.47,4.25%,--,--,$56.47,4.25%,No,,,,,,,,,
INVA,INNOVIVA INC,11/19/2020,100,$1102.48,$988.47,$114.01,11.53%,--,--,$114.01,11.53%,No,,,,,,,,,
INVA,INNOVIVA INC,12/22/2020,134,$1594.57,$1515.54,$79.03,5.21%,--,--,$79.03,5.21%,No,,,,,,,,,
INSG,INSEEGO CORP,08/17/2020,135,$1625.02,$1471.50,$153.52,10.43%,--,--,$153.52,10.43%,No,,,,,,,,,
INSG,INSEEGO CORP,12/21/2020,113,$1609.33,$1708.56,-$99.23,-5.81%,--,--,-$99.23,-5.81%,No,,,,,,,,,
NTLA,INTELLIA THERAPEUTIC,07/30/2020,37,$673.02,$837.18,-$164.16,-19.61%,--,--,-$164.16,-19.61%,No,,,,,,,,,
IO,ION GEOPHYSICAL CORP,07/07/2020,450,$1084.48,$1110.74,-$26.26,-2.36%,--,--,-$26.26,-2.36%,No,,,,,,,,,
JMIA,JUMIA TECHNOLOGIES A G F UNSPONSORED ADR 1 ADR REPS 2 ORD SHS,07/01/2020,425,$2360.49,$2154.75,$205.74,9.55%,--,--,$205.74,9.55%,No,,,,,,,,,
KCAC,KENSINGTON CAPITAL ACQ CLASS A,09/22/2020,59,$1144.87,$1042.87,$102.00,9.78%,--,--,$102.00,9.78%,No,,,,,,,,,
LSCC,LATTICE SEMICONDUCTR,07/22/2020,33,$980.84,$1017.42,-$36.58,-3.60%,--,--,-$36.58,-3.60%,No,,,,,,,,,
LX,LEXINFINTECH HOLDINGS F UNSPONSORED ADR 1 ADR REPS ORD SHS,07/16/2020,75,$808.49,$975.74,$0.00,0.00%,--,--,$0.00,0.00%,Yes,$167.25,,,,,,,,
LX,LEXINFINTECH HOLDINGS F UNSPONSORED ADR 1 ADR REPS ORD SHS,07/30/2020,113,$960.48,$1144.70,-$184.22,-16.09%,--,--,-$184.22,-16.09%,No,,,$977.45,-$16.97,-1.74%,,,-$16.97,-1.74%
LLNW,LIMELIGHT NETWORKS,07/29/2020,225,$1473.72,$1363.50,$110.22,8.08%,--,--,$110.22,8.08%,No,,,,,,,,,
LVGO,LIVONGO HEALTH INC,08/17/2020,11,$1366.75,$1203.10,$163.65,13.60%,--,--,$163.65,13.60%,No,,,,,,,,,
MRVL,MARVELL TECH GROUP F,07/22/2020,24,$862.84,$916.95,-$54.11,-5.90%,--,--,-$54.11,-5.90%,No,,,,,,,,,
MRVL,MARVELL TECH GROUP F,12/21/2020,34,$1601.36,$1589.50,$11.86,0.75%,--,--,$11.86,0.75%,No,,,,,,,,,
MGPHF,MASON GRAPHITE INC F,08/06/2020,9100,$1310.37,$1053.33,$257.04,24.40%,--,--,$257.04,24.40%,No,,,,,,,,,
MGPHF,MASON GRAPHITE INC F,08/07/2020,900,$115.89,$104.17,$11.72,11.25%,--,--,$11.72,11.25%,No,,,,,,,,,
MGPHF,MASON GRAPHITE INC F,10/22/2020,4750,$845.34,$1005.62,-$160.28,-15.94%,--,--,-$160.28,-15.94%,No,,,,,,,,,
MMNFF,MEDMEN ENTERPRISES INC F,08/06/2020,500,$85.97,$91.50,-$5.53,-6.04%,--,--,-$5.53,-6.04%,No,,,,,,,,,
MMNFF,MEDMEN ENTERPRISES INC F,08/06/2020,200,$34.39,$36.60,-$2.21,-6.04%,--,--,-$2.21,-6.04%,No,,,,,,,,,
MMNFF,MEDMEN ENTERPRISES INC F,08/06/2020,100,$17.19,$18.30,-$1.11,-6.07%,--,--,-$1.11,-6.07%,No,,,,,,,,,
MMNFF,MEDMEN ENTERPRISES INC F,08/06/2020,100,$17.19,$18.30,-$1.11,-6.07%,--,--,-$1.11,-6.07%,No,,,,,,,,,
MMNFF,MEDMEN ENTERPRISES INC F,08/06/2020,100,$17.19,$18.30,-$1.11,-6.07%,--,--,-$1.11,-6.07%,No,,,,,,,,,
MMNFF,MEDMEN ENTERPRISES INC F,08/07/2020,6500,$1105.00,$1189.50,-$84.50,-7.10%,--,--,-$84.50,-7.10%,No,,,,,,,,,
MRK,MERCK & CO. INC.,07/06/2020,7,$556.63,$550.87,$5.76,1.05%,--,--,$5.76,1.05%,No,,,,,,,,,
MRK,MERCK & CO. INC.,07/07/2020,13,$1030.78,$1023.05,$7.73,0.76%,--,--,$7.73,0.76%,No,,,,,,,,,
MU,MICRON TECHNOLOGY,08/13/2020,28,$1305.83,$1400.00,-$94.17,-6.73%,--,--,-$94.17,-6.73%,No,,,,,,,,,
NIO,N I O INC F SPONSORED ADR 1 ADR REPS ORD SHS,11/24/2020,7,$375.54,$337.19,$38.35,11.37%,--,--,$38.35,11.37%,No,,,,,,,,,
NIO,N I O INC F SPONSORED ADR 1 ADR REPS ORD SHS,12/03/2020,14,$657.74,$674.38,-$16.64,-2.47%,--,--,-$16.64,-2.47%,No,,,,,,,,,
NIO,N I O INC F UNSPONSORED ADR 1 ADR REPS ORD SHS,07/09/2020,15,$205.35,$180.83,$24.52,13.56%,--,--,$24.52,13.56%,No,,,,,,,,,
NIO,N I O INC F UNSPONSORED ADR 1 ADR REPS ORD SHS,07/24/2020,80,$911.18,$964.40,-$53.22,-5.52%,--,--,-$53.22,-5.52%,No,,,,,,,,,
NLS,NAUTILUS INC,07/24/2020,97,$1014.60,$1000.51,$14.09,1.41%,--,--,$14.09,1.41%,No,,,,,,,,,
NLS,NAUTILUS INC,10/22/2020,100,$2557.38,$2550.00,$7.38,0.29%,--,--,$7.38,0.29%,No,,,,,,,,,
NGPHF,NORTHERN GRAPHITE CO F,08/06/2020,5325,$1357.85,$820.05,$537.80,65.58%,--,--,$537.80,65.58%,No,,,,,,,,,
NGPHF,NORTHERN GRAPHITE CO F,08/06/2020,2675,$615.24,$411.95,$203.29,49.35%,--,--,$203.29,49.35%,No,,,,,,,,,
NGPHF,NORTHERN GRAPHITE CO F,08/06/2020,1000,$229.99,$154.00,$75.99,49.34%,--,--,$75.99,49.34%,No,,,,,,,,,
NGPHF,NORTHERN GRAPHITE CO F,08/06/2020,1000,$229.99,$154.00,$75.99,49.34%,--,--,$75.99,49.34%,No,,,,,,,,,
NVAX,NOVAVAX INC,12/03/2020,13,$1662.56,$1679.60,$0.00,0.00%,--,--,$0.00,0.00%,Yes,$17.04,,,,,,,,
NVAX,NOVAVAX INC,12/21/2020,15,$1867.61,$1986.54,-$118.93,-5.99%,--,--,-$118.93,-5.99%,No,,,$1969.50,-$101.89,-5.17%,,,-$101.89,-5.17%
NVDA,NVIDIA CORP,07/27/2020,3,$1227.93,$1202.28,$30.35,2.52%,--,--,$30.35,2.52%,Yes,$4.70,,,,,,,,
NVDA,NVIDIA CORP,08/31/2020,10,$5248.04,$5083.81,$164.23,3.23%,--,--,$164.23,3.23%,No,,,$5079.11,$168.93,3.33%,,,$168.93,3.33%
NVDA,NVIDIA CORP,10/01/2020,10,$5426.88,$5428.10,-$1.22,-0.02%,--,--,-$1.22,-0.02%,No,,,,,,,,,
OKTA,OKTA INC CLASS A,07/16/2020,4,$795.26,$891.64,-$96.38,-10.81%,--,--,-$96.38,-10.81%,No,,,,,,,,,
YI,ONE HUNDRED ONE INC F UNSPONSORED ADR 1 ADR REPS 2 ORD SHS,08/17/2020,220,$1456.88,$1454.20,$2.68,0.18%,--,--,$2.68,0.18%,No,,,,,,,,,
OROCF,OROCOBRE LTD ORD F AUSTRALIAN SHARES,08/17/2020,625,$1281.25,$1281.00,$0.25,0.02%,--,--,$0.25,0.02%,No,,,,,,,,,
DOGEF,ORSTED A/S ORDF,08/17/2020,8,$1085.20,$1090.56,-$5.36,-0.49%,--,--,-$5.36,-0.49%,No,,,,,,,,,
OVID,OVID THERAPEUTICS INC,07/09/2020,8,$63.12,$59.00,$4.12,6.98%,--,--,$4.12,6.98%,No,,,,,,,,,
OVID,OVID THERAPEUTICS INC,07/09/2020,2,$15.78,$14.75,$1.03,6.98%,--,--,$1.03,6.98%,No,,,,,,,,,
OVID,OVID THERAPEUTICS INC,07/22/2020,130,$919.96,$958.90,$0.00,0.00%,--,--,$0.00,0.00%,Yes,$38.94,,,,,,,,
OVID,OVID THERAPEUTICS INC,07/30/2020,150,$917.98,$1051.44,-$133.46,-12.69%,--,--,-$133.46,-12.69%,No,,,$1012.50,-$94.52,-9.34%,,,-$94.52,-9.34%
PLTR,PALANTIR TECHNOLOGIES IN CLASS A,11/24/2020,20,$459.19,$374.40,$84.79,22.65%,--,--,$84.79,22.65%,No,,,,,,,,,
PTON,PELOTON INTERACTIVE INC,09/02/2020,4,$363.05,$361.94,$1.11,0.31%,--,--,$1.11,0.31%,No,,,,,,,,,
PFE,PFIZER INC,07/06/2020,20,$688.65,$681.96,$6.69,0.98%,--,--,$6.69,0.98%,No,,,,,,,,,
PFE,PFIZER INC,07/07/2020,30,$1026.94,$1022.95,$3.99,0.39%,--,--,$3.99,0.39%,No,,,,,,,,,
PLUG,PLUG POWER INC,11/24/2020,20,$536.59,$504.58,$32.01,6.34%,--,--,$32.01,6.34%,No,,,,,,,,,
ACB 12/04/2020 9.00 P,PUT AURORA CANNABIS INC $9 EXP 12/04/20,11/25/2020,1,$98.35,$105.65,-$7.30,-6.91%,--,--,-$7.30,-6.91%,No,,,,,,,,,
FSLY 08/14/2020 78.00 P,PUT FASTLY INC $78 EXP 08/14/20,08/12/2020,3,$1047.99,$1415.99,-$368.00,-25.99%,--,--,-$368.00,-25.99%,No,,,,,,,,,
FSLY 08/21/2020 89.00 P,PUT FASTLY INC $89 EXP 08/21/20,08/06/2020,2,$1238.63,$1581.30,-$342.67,-21.67%,--,--,-$342.67,-21.67%,No,,,,,,,,,
INSG 08/21/2020 15.00 P,PUT INSEEGO CORP $15 EXP 08/21/20,08/07/2020,1,$309.34,$350.65,-$41.31,-11.78%,--,--,-$41.31,-11.78%,No,,,,,,,,,
NVDA 08/07/2020 445.00 P,PUT NVIDIA CORP $445 EXP 08/07/20,08/07/2020,3,$418.00,$959.95,-$541.95,-56.46%,--,--,-$541.95,-56.46%,No,,,,,,,,,
SPY 10/05/2020 323.00 P,PUT SPDR S&P 500 $323 EXP 10/05/20,10/05/2020,1,$0.00,$555.65,-$555.65,-100.00%,--,--,-$555.65,-100.00%,No,,,,,,,,,
QS,QUANTUMSCAPE CORP CLASS A,12/23/2020,1,$118.17,$48.99,$69.18,141.21%,--,--,$69.18,141.21%,No,,,,,,,,,
QDEL,QUIDEL CORP,07/24/2020,4,$1009.34,$960.24,$49.10,5.11%,--,--,$49.10,5.11%,No,,,,,,,,,
SAIL,SAILPOINT TECHNOLOGIES,07/09/2020,4,$116.10,$111.43,$4.67,4.19%,--,--,$4.67,4.19%,No,,,,,,,,,
SAIL,SAILPOINT TECHNOLOGIES,08/17/2020,46,$1683.65,$1318.58,$365.07,27.69%,--,--,$365.07,27.69%,No,,,,,,,,,
CRM,SALESFORCE COM,07/06/2020,5,$989.96,$954.88,$35.08,3.67%,--,--,$35.08,3.67%,No,,,,,,,,,
CRM,SALESFORCE COM,07/09/2020,5,$989.66,$954.87,$34.79,3.64%,--,--,$34.79,3.64%,No,,,,,,,,,
SSP,SCRIPPS E W CO CLASS A,08/06/2020,125,$1437.47,$1403.54,$33.93,2.42%,--,--,$33.93,2.42%,No,,,,,,,,,
SE,SEA LTD F UNSPONSORED ADR 1 ADR REPS 1 ORD SHS,08/17/2020,10,$1314.33,$1104.80,$209.53,18.97%,--,--,$209.53,18.97%,No,,,,,,,,,
SE,SEA LTD F UNSPONSORED ADR 1 ADR REPS 1 ORD SHS,12/22/2020,10,$1994.56,$1953.69,$40.87,2.09%,--,--,$40.87,2.09%,No,,,,,,,,,
SHOP,SHOPIFY INC F CLASS A,07/06/2020,5,$5090.09,$3180.00,$1910.09,60.07%,--,--,$1910.09,60.07%,No,,,,,,,,,
SHOP,SHOPIFY INC F CLASS A,07/06/2020,2,$1976.23,$1272.00,$704.23,55.36%,--,--,$704.23,55.36%,No,,,,,,,,,
SHOP,SHOPIFY INC F CLASS A,07/09/2020,1,$1027.98,$636.00,$391.98,61.63%,--,--,$391.98,61.63%,No,,,,,,,,,
SHOP,SHOPIFY INC F CLASS A,08/24/2020,2,$1998.09,$1272.00,$726.09,57.08%,--,--,$726.09,57.08%,No,,,,,,,,,
SEDG,SOLAREDGE TECH,08/06/2020,1,$215.01,$172.26,$42.75,24.82%,--,--,$42.75,24.82%,No,,,,,,,,,
SEDG,SOLAREDGE TECH,08/17/2020,7,$1537.94,$1205.82,$332.12,27.54%,--,--,$332.12,27.54%,No,,,,,,,,,
SGDJ,SPROTT JUNIOR GOLD MINERS ETF,08/20/2020,25,$1164.10,$1016.00,$148.10,14.58%,--,--,$148.10,14.58%,No,,,,,,,,,
SQ,SQUARE INC CLASS A,07/24/2020,2,$266.25,$258.46,$7.79,2.93%,--,--,$7.79,2.93%,No,,07/22/2020,,,,,,,
SQ,SQUARE INC CLASS A,08/17/2020,10,$1484.88,$1189.38,$295.50,24.84%,--,--,$295.50,24.84%,No,,,,,,,,,
STAA,STAAR SURGICAL CO,07/07/2020,20,$1170.77,$1245.00,-$74.23,-5.96%,--,--,-$74.23,-5.96%,No,,,,,,,,,
STRT,STRATTEC SECURITY CO,07/01/2020,148,$2345.75,$2220.00,$125.75,5.66%,--,--,$125.75,5.66%,No,,,,,,,,,
STRT,STRATTEC SECURITY CO,07/01/2020,2,$31.54,$30.00,$1.54,5.13%,--,--,$1.54,5.13%,No,,,,,,,,,
RUN,SUNRUN INC.,07/09/2020,36,$962.36,$869.28,$93.08,10.71%,--,--,$93.08,10.71%,No,,,,,,,,,
RUN,SUNRUN INC.,07/09/2020,9,$245.78,$217.32,$28.46,13.10%,--,--,$28.46,13.10%,No,,,,,,,,,
SYAAF,SYRAH RESOURCES LI ORDF,07/31/2020,4000,$950.00,$1166.00,-$216.00,-18.52%,--,--,-$216.00,-18.52%,No,,,,,,,,,
SYAAF,SYRAH RESOURCES LI ORDF,10/22/2020,3400,$1132.35,$1308.00,$0.00,0.00%,--,--,$0.00,0.00%,Yes,$175.65,,,,,,,,
SYAAF,SYRAH RESOURCES LI ORDF,12/14/2020,1700,$1054.50,$962.83,$91.67,9.52%,--,--,$91.67,9.52%,No,,,$875.00,$179.50,20.51%,,,$179.50,20.51%
SYAAF,SYRAH RESOURCES LI ORDF,12/14/2020,1500,$930.44,$849.55,$80.89,9.52%,--,--,$80.89,9.52%,No,,,$772.06,$158.38,20.51%,,,$158.38,20.51%
SYAAF,SYRAH RESOURCES LI ORDF,12/14/2020,200,$123.06,$113.27,$9.79,8.64%,--,--,$9.79,8.64%,No,,,$102.94,$20.12,19.55%,,,$20.12,19.55%
TSM,TAIWAN SEMICONDUCTR F SPONSORED ADR 1 ADR REPS 5 ORD SHS,08/06/2020,2,$163.94,$143.08,$20.86,14.58%,--,--,$20.86,14.58%,No,,,,,,,,,
TSM,TAIWAN SEMICONDUCTR F SPONSORED ADR 1 ADR REPS 5 ORD SHS,08/17/2020,18,$1453.11,$1287.72,$165.39,12.84%,--,--,$165.39,12.84%,No,,,,,,,,,
TTWO,TAKE TWO INTERACTV,07/28/2020,7,$1106.75,$1023.31,$83.44,8.15%,--,--,$83.44,8.15%,No,,,,,,,,,
TSLA,TESLA INC,07/22/2020,2,$3203.25,$1940.84,$1262.41,65.04%,--,--,$1262.41,65.04%,No,,,,,,,,,
TSLA,TESLA INC,08/06/2020,1,$1490.80,$970.42,$520.38,53.62%,--,--,$520.38,53.62%,No,,,,,,,,,
TSLA,TESLA INC,09/23/2020,10,$3869.58,$1940.84,$1928.74,99.38%,--,--,$1928.74,99.38%,No,,,,,,,,,
TSLA,TESLA INC,09/24/2020,15,$5324.88,$5579.97,$0.00,0.00%,--,--,$0.00,0.00%,Yes,$255.09,,,,,,,,
TSLA,TESLA INC,12/16/2020,12,$7465.89,$5699.87,$1766.02,30.98%,--,--,$1766.02,30.98%,No,,,$5495.80,$1970.09,35.85%,,,$1970.09,35.85%
TSLA,TESLA INC,12/22/2020,3,$1900.18,$1424.97,$475.21,33.35%,--,--,$475.21,33.35%,No,,,$1373.95,$526.23,38.30%,,,$526.23,38.30%
TPL,TEX PAC LAND SUB CTF,07/01/2020,3,$1758.11,$1099.11,$659.00,59.96%,--,--,$659.00,59.96%,No,,,,,,,,,
TPL,TEX PAC LAND SUB CTF,07/06/2020,3,$1720.66,$1099.11,$621.55,56.55%,--,--,$621.55,56.55%,No,,,,,,,,,
TPL,TEX PAC LAND SUB CTF,07/06/2020,2,$1144.16,$732.74,$411.42,56.15%,--,--,$411.42,56.15%,No,,,,,,,,,
REAL,THE REALREAL INC,07/09/2020,67,$973.95,$953.19,$20.76,2.18%,--,--,$20.76,2.18%,No,,,,,,,,,
REAL,THE REALREAL INC,07/09/2020,8,$120.40,$113.81,$6.59,5.79%,--,--,$6.59,5.79%,No,,,,,,,,,
TTD,THE TRADE DESK INC CLASS A,07/06/2020,5,$2218.28,$2038.88,$179.40,8.80%,--,--,$179.40,8.80%,No,,,,,,,,,
TTD,THE TRADE DESK INC CLASS A,07/07/2020,2,$889.95,$815.55,$74.40,9.12%,--,--,$74.40,9.12%,No,,,,,,,,,
TTD,THE TRADE DESK INC CLASS A,07/24/2020,3,$1239.87,$1223.32,$16.55,1.35%,--,--,$16.55,1.35%,No,,,,,,,,,
TTD,THE TRADE DESK INC CLASS A,08/17/2020,5,$2357.70,$2511.96,-$154.26,-6.14%,--,--,-$154.26,-6.14%,No,,,,,,,,,
TWLO,TWILIO INC CLASS A,07/07/2020,5,$1176.12,$1199.12,$0.00,0.00%,--,--,$0.00,0.00%,Yes,$23.00,,,,,,,,
TWLO,TWILIO INC CLASS A,07/16/2020,5,$1091.75,$1223.36,-$131.61,-10.76%,--,--,-$131.61,-10.76%,No,,,$1200.36,-$108.61,-9.05%,,,-$108.61,-9.05%
VRTX,VERTEX PHARMACEUTICA,08/06/2020,5,$1364.97,$1401.70,-$36.73,-2.62%,--,--,-$36.73,-2.62%,No,,,,,,,,,
VSLR,VIVINT SOLAR INC,07/09/2020,67,$984.45,$881.05,$103.40,11.74%,--,--,$103.40,11.74%,No,,,,,,,,,
VSLR,VIVINT SOLAR INC,07/09/2020,13,$196.17,$170.95,$25.22,14.75%,--,--,$25.22,14.75%,No,,,,,,,,,
VMW,VMWARE INC CLASS A,07/02/2020,13,$1981.75,$2026.12,-$44.37,-2.19%,--,--,-$44.37,-2.19%,No,,,,,,,,,
ZBH,ZIMMER BIOMET HLDGS,07/02/2020,15,$1821.86,$1789.35,$32.51,1.82%,--,--,$32.51,1.82%,No,,,,,,,,,
Total,,,,$364210.02,$342087.99,$23162.74,6.77%,$0.00,N/A,$23162.74,6.77%,,,,,,,,,,
